tweet_id,date,time,lang,country_code
1318764549588220000 ,10/21/2020,4:02:24,en,NULL
1318764549890240000 ,10/21/2020,4:02:24,en,NULL
1318764553329640000 ,10/21/2020,4:02:25,en,NULL
1318764554927500000 ,10/21/2020,4:02:26,es,NULL
1318764555275690000 ,10/21/2020,4:02:26,en,NULL
1318764555363880000 ,10/21/2020,4:02:26,en,NULL
1318764557393920000 ,10/21/2020,4:02:26,es,NULL
1318764557637090000 ,10/21/2020,4:02:26,en,NULL
1318764557968440000 ,10/21/2020,4:02:26,es,NULL
